infile,author,dob,dod,gender,wikidata,bnf,viaf,loc,bne,isni,birth_date,death_date,century
"Pastor_Díaz_y_Corbelle,Nicomedes",Nicomedes Pastor Díaz y Corbelle,1811-09-15,1863-03-22,male,Q3032159,155546200,22453734,no94016397,XX883039,0000 0001 2124 0167,1811-09-15T00:00:00Z,1863-03-22T00:00:00Z,<XXI
"Pastrana,Elizabeth",Elizabeth Pastrana,,,,,,,,,,,,XXI
"Paz,Octavio",Octavio Paz,1914-03-31,1998-04-19,male,Q46739,11918885d,41844743,n79076107,XX1076624,0000 0001 2129 6435,1914-03-31T00:00:00Z,1998-04-19T00:00:00Z,<XXI
"Peinador,Miguel_Ángel",Miguel Ángel Peinador,,,,,,,,,,,,XXI
"Pellicer,Carlos",Carlos Pellicer,1899-01-16,1977-02-16,male,Q4381,120205367,"61558793,75",n79058525,XX901462,0000 0001 1473 5102,1899-01-16T00:00:00Z,1977-02-16T00:00:00Z,<XXI
"Pemán,José_María",José María Pemán,1897-05-08,1981-07-19,male,Q964355,11990417j,111468365,n50010323,XX969038,0000 0001 0935 7119,1897-05-08T00:00:00Z,1981-07-19T00:00:00Z,<XXI
"Peña_del_Bosque,Leopoldo",Leopoldo Peña del Bosque,,,,,,,,,,,,XXI
"Pereira,Gustavo",Gustavo Pereira,1941-03-07,,male,Q5889791,11990417j,11525090,n93108039,XX1394867,0000 0001 1021 107X,1941-03-07T00:00:00Z,,<XXI
"Pereyra_Lucena,Cristián",Cristián Pereyra Lucena,,,,,,,,,,,,XXI
"Pérez_de_Ayala,Ramón",Ramón Pérez de Ayala,1880-08-09,1962-08-05,male,Q727717,12018785q,12320329,n50016858,XX982844,"0000 0001 2120 8482,0000 0003 6863 7828",1880-08-09T00:00:00Z,1962-08-05T00:00:00Z,<XXI
"Pérez,Dalia_María",Dalia María Pérez,,,,,,,,,,,,XXI
"Pérez,David",David Pérez,,,,,,,,,,,,XXI
"Pérez,Diego",Diego Pérez,,,,,,,,,,,,XXI
"Pérez,Freddy",Freddy Pérez,,,,,,,,,,,,XXI
"Pérez,Ignacio",Ignacio Pérez,,,,,,,,,,,,XXI
"Pérez-Ayala_Huertas,Javier",Javier Pérez-Ayala Huertas,,,,,,,,,,,,XXI
"Pérez_Asensio,Miguel_Ángel",Miguel Ángel Pérez Asensio,,,,,,,,,,,,XXI
"Pérez_Hernández,Jorge_A.",Jorge A. Pérez Hernández,,,,,,,,,,,,XXI
"Pérez_Pol,David",David Pérez Pol,,,,,,,,,,,,XXI
"Pérez_Poza,Fernando_Luis",Fernando Luis Pérez Poza,,,,,,,,,,,,XXI
"Pérez_Vilas,Pedro",Pedro Pérez Vilas,,,,,,,,,,,,XXI
"Peza,Juan_de_Dios",Juan de Dios Pesas,1852-06-29,1910-03-16,male,Q600330,12054039g,29553746,n86804838,XX1375724,0000 0000 8108 1551,1852-06-29T00:00:00Z,1910-03-16T00:00:00Z,<XXI
"Pichs,Tony",Tony Pichs,,,,,,,,,,,,XXI
"Pie_Morales,Sandra",Sandra Pie Morales,,,,,,,,,,,,XXI
"Piedrahita,Yanet",Yanet Piedrahita,,,,,,,,,,,,XXI
"Pierucci,Andrés_Eduardo",Andrés Eduardo Pierucci,,,,,,,,,,,,XXI
"Piferrer,Pablo",Pablo Piferrer,1818-01-01,1848-01-01,male,Q9054013,12054039g,31341201,n2001036271,XX967444,0000 0000 7972 8432,1818-01-01T00:00:00Z,1848-01-01T00:00:00Z,<XXI
"Pilía,Guillermo",Guillermo Pilía,,,,,,,,,,,,XXI
"Pino,Eduardo_del",Eduardo del Pino,,,,,,,,,,,,XXI
"Pintael_Martínez,Joaquín",Joaquín Pintael Martínez,,,,,,,,,,,,XXI
"Pinzón-Bedoya,Francisco",Francisco Pinzón-Bedoya,,,,,,,,,,,,XXI
"Pizarnik,Alejandra",Alejandra Pizarnik,1936-04-29,1972-09-25,female,Q272441,12013428v,17233961,n82006764,XX1061545,0000 0001 1041 3691,1936-04-29T00:00:00Z,1972-09-25T00:00:00Z,<XXI
"Pizarro,José_Ángel",José Ángel Pizarro,,,,,,,,,,,,XXI
"Pizarro_Aray,Carola",Carola Pizarro Aray,,,,,,,,,,,,XXI
"Planas_Bennásar,Juan",Juan Planas Bennásar,,,,,,,,,,,,XXI
"Plaza_Llamas,Antonio",Antonio Plaza,1830-06-02,1882-08-26,male,Q5699379,12013428v,26211953,n89647429,XX1380414,0000 0000 8366 2253,1830-06-02T00:00:00Z,1882-08-26T00:00:00Z,<XXI
"Pombo,Rafael",Rafael Pombo,1833-11-07,1912-05-05,male,Q1661285,12308318s,79400080,n82012180,XX955354,0000 0001 1772 162X,1833-11-07T00:00:00Z,1912-05-05T00:00:00Z,<XXI
"Ponce_y_Mora,Javier",Javier Ponce y Mora,,,,,,,,,,,,XXI
"Popa,Dorin",Dorin Popa,,,,,,,,,,,,XXI
"Portela,Óscar",Óscar Portela,,,,,,,,,,,,XXI
"Portilla_Montaño,Jéssica_de_la",Jéssica de la Portilla Montaño,,,,,,,,,,,,XXI
"Posada,Dina",Dina Posada,1946-01-01,,female,Q5277862,12308318s,61166422,no98095230,XX955354,0000 0000 4173 5039,1946-01-01T00:00:00Z,,<XXI
"Poza,Agustín_de_la",Agustín de la Poza,,,,,,,,,,,,XXI
"Pómez,José",José Pómez,,,,,,,,,,,,XXI
"Prados,Emilio",Emilio Prados,1899-03-04,1970-04-24,male,Q530267,12059958f,32018065,n80051603,XX1032391,0000 0001 1023 698X,1899-03-04T00:00:00Z,"1970-04-24T00:00:00Z,1962-04-24T00:00:00Z,1968-04-24T00:00:00Z",<XXI
"Puebla,Sergio",Sergio Puebla,,,,,,,,,,,,XXI
"Pulido_Castillo,Gonzalo",Gonzalo Pulido Castillo,,,,,,,,,,,,XXI
"Querol_Campos,Vicente_Wenceslao",Vicente Wenceslao Querol,1837-09-28,1889-10-24,male,Q3700462,12054521s,71410464,n87882848,XX910529,0000 0001 1029 1321,1837-09-28T00:00:00Z,1889-10-24T00:00:00Z,<XXI
"Quesada_y_Loynaz,C._de",C. de Quesada y Loynaz,,,,,,,,,,,,XXI
"Quevedo,Andrés",Andrés Quevedo,,,,,,,,,,,,XXI
"Quevedo,Francisco",Francisco Quevedo,1580-09-17,1645-09-08,male,Q201315,118873287,56604566,n79029741,XX1066651,0000 0001 2133 9650,1580-09-17T00:00:00Z,1645-09-08T00:00:00Z,<XXI
"Quintana,Manuel_José",Manuel José Quintana,1772-04-11,1857-03-11,male,Q380792,12680447w,73975529,n79046639,XX827069,0000 0001 1029 512X,1772-04-11T00:00:00Z,1857-03-11T00:00:00Z,<XXI
"Quiroga,Horacio",Horacio Quiroga,1878-12-31,1937-02-19,male,Q16864,12016648r,19689428,"n81059872,no2015034029",XX1069397,0000 0001 2277 1648,1878-12-31T00:00:00Z,1937-02-19T00:00:00Z,<XXI
"R._A.-Valdés,Emma-Margarita",Emma-Margarita R. A.-Valdés,,,,,,,,,,,,XXI
"Ramírez,Sebastián",Sebastián Ramírez,,,,,,,,,,,,XXI
"Ramírez_Mella,Edgar_E.",Edgar E. Ramírez Mella,,,,,,,,,,,,XXI
"Ramírez_Silva,Alejandro",Alejandro Ramírez Silva,,,,,,,,,,,,XXI
"Ramos,Andrea",Andrea Ramos,,,,,,,,,,,,XXI
"Ramos,Julián",Julián Ramos,,,,,,,,,,,,XXI
"Ramos_B.,Fernando",Fernando Ramos B.,,,,,,,,,,,,XXI
"Ramos_Carrión,Miguel",Miguel Ramos Carrión,1848-01-01,1915-08-08,male,Q5253445,147947460,69738124,n82041097,XX1079848,0000 0001 1666 7158,1848-01-01T00:00:00Z,1915-08-08T00:00:00Z,<XXI
"Ramos_Sucre,José_Antonio",José Antonio Ramos Sucre,1890-06-09,1930-06-13,male,Q366883,12059187t,66488135,n81063407,XX1725246,0000 0001 1767 7884,1890-06-09T00:00:00Z,1930-06-13T00:00:00Z,<XXI
"Ramos_Vargas,Anthony_James",Anthony James Ramos Vargas,,,,,,,,,,,,XXI
"Rasch_Isla,Miguel",Miguel Rasch Isla,1887-02-09,1953-10-06,male,Q45258680,12059187t,66488135,n81063407,XX1725246,0000 0001 1767 7884,1887-02-09T00:00:00Z,1953-10-06T00:00:00Z,<XXI
"Ratón,Maeve",Maeve Ratón,,,,,,,,,,,,XXI
"Ratz,Wolfgang",Wolfgang Ratz,,,,,,,,,,,,XXI
"Ravizzi,Marta",Marta Ravizzi,,,,,,,,,,,,XXI
"Reina_Palazón,José_Luis",José Luis Reina Palazón,,,,,,,,,,,,XXI
"Rened,Ángel",Ángel Rened,,,,,,,,,,,,XXI
"Reni-Anzola,Daniel",Daniel Reni-Anzola,,,,,,,,,,,,XXI
"Rensoli,Lourdes",Lourdes Rensoli,,,,,,,,,,,,XXI
"Requejo,Pablo",Pablo Requejo,,,,,,,,,,,,XXI
"Revagliatti,Rolando",Rolando Revagliatti,,,,,,,,,,,,XXI
"Rey,José_Luis",José Luis Rey,,,,,,,,,,,,XXI
"Rébora,Marilina",Marilina Rébora,1919-05-27,1999-05-27,male,,12059187t,66488135,n81063407,XX1725246,0000 0001 1767 7884,1919-05-27T00:00:00Z,1999-05-27T00:00:00Z,<XXI
"Reyes,Alfonso",Alfonso Reyes Papá de la Zorra de Fatima Reyes,1889-05-17,1959-12-27,male,Q462721,12058725p,29555218,n50044834,XX1108521,0000 0001 2125 8965,1889-05-17T00:00:00Z,1959-12-27T00:00:00Z,<XXI
"Reyes,Simón",Simón Reyes,,,,,,,,,,,,XXI
"Reyes_Ríos,Juan-José",Juan-José Reyes Ríos,,,,,,,,,,,,XXI
"Reyes,Belén",Belén Reyes,1964-05-27,,male,,12058725p,29555218,n50044834,XX1108521,0000 0001 2125 8965,1964-05-27T00:00:00Z,,<XXI
"Ridruejo,Dionisio",Dionisio Ridruejo,1912-10-12,1975-06-29,male,Q2553101,120316677,73868629,n50045546,XX1064842,0000 0001 1029 4311,1912-10-12T00:00:00Z,1975-06-29T00:00:00Z,<XXI
"Riechmann,Jorge",Jorge Riechmann,1962-03-24,,male,Q10308228,120681555,33574,n89665596,XX1107604,0000 0001 0860 9505,1962-03-24T00:00:00Z,,<XXI
"Rioja,Francisco_de",Francisco de Rioja,1583-11-22,1659-08-08,male,Q684568,12034013c,"61562312,99",n86809518,XX1089488,"0000 0000 6858 9633,0000 0000 6143 5244",1583-11-22T00:00:00Z,1659-08-08T00:00:00Z,<XXI
"Rivas,Duque_de","Ángel de Saavedra, 3rd Duke of Rivas",1791-03-10,1865-06-22,male,Q155463,12005468c,34466938,n80049561,XX906548,0000 0001 0886 2359,1791-03-10T00:00:00Z,1865-06-22T00:00:00Z,<XXI
"Rivera,José_Eustasio",José Eustsio Ribera,1888-02-19,1928-12-02,male,Q940428,12175785d,51731849,n88656223,XX1023027,0000 0001 0900 4866,1888-02-19T00:00:00Z,1928-12-02T00:00:00Z,<XXI
"Rivera_Ortiz,Carlos",Carlos Rivera Ortiz,,,,,,,,,,,,XXI
"Rivera_Quintana,Juan_C.",Juan C. Rivera Quintana,,,,,,,,,,,,XXI
"Rivero,Juan",Juan Rivero,,,,,,,,,,,,XXI
"Riveros,Juan_Pablo",Juan Pablo Riveros,,,,,,,,,,,,XXI
"Rizal_y_Alonso,José",José Rizal,1861-06-19,1896-12-30,male,Q1500,11922137c,41845763,n80051794,XX870212,0000 0000 8120 1592,1861-06-19T00:00:00Z,1896-12-30T00:00:00Z,<XXI
"Rodríguez,Ana",Ana Rodríguez,,,,,,,,,,,,XXI
"Rodríguez,Antonieta",Antonieta Rodríguez,,,,,,,,,,,,XXI
"Rodríguez,Claudio",Claudio Rodríguez García,1934-01-30,1999-07-22,male,Q3753452,12174936h,93638911,n85221682,XX1039935,0000 0001 0926 0368,1934-01-30T00:00:00Z,1999-07-22T00:00:00Z,<XXI
"Rodríguez,Francisco",Francisco Rodríguez,,,,,,,,,,,,XXI
"Rodríguez,Toño",Toño Rodríguez,,,,,,,,,,,,XXI
"Roibón,María_Milagros",María Milagros Roibón,,,,,,,,,,,,XXI
"Rojas,Gonzalo",Gonzalo Rojas,1917-12-20,2011-04-25,male,Q381097,12019538w,32008591,n79135565,XX1107092,0000 0000 8369 1222,1917-12-20T00:00:00Z,2011-04-25T00:00:00Z,<XXI
"Rojo,Jorge",Jorge Rojo,,,,,,,,,,,,XXI
"Rokha,Pablo_de",Pablo de Rokha,1895-10-17,1968-09-10,male,Q1170260,12094215v,106089228,n80138126,XX1045075,0000 0000 7822 6924,1895-10-17T00:00:00Z,1968-09-10T00:00:00Z,<XXI
"Romano,Ana",Ana Romano,,,,,,,,,,,,XXI
"Romera,Mario",Mario Romera,,,,,,,,,,,,XXI
"Romero,Armando",Armando Romero,1944-01-01,,male,Q5704611,12059680s,4951582,n85353369,XX857479,0000 0003 7437 7161,1944-01-01T00:00:00Z,,<XXI
"Rosa_Luna,Dora_Elia_de_la",Dora Elia de la Rosa Luna,,,,,,,,,,,,XXI
"Rosales,Luis",Luis Rosales,1910-05-31,1992-10-24,male,Q537776,12027211r,4944528,n79079170,XX1111761,0000 0001 2118 5495,1910-05-31T00:00:00Z,1992-10-24T00:00:00Z,<XXI
"Rosales_Vera,Carmen",Carmen Rosales Vera,,,,,,,,,,,,XXI
"Rosario,Jorge_del",Jorge del Rosario,,,,,,,,,,,,XXI
"Rosenmann-Taub,David",David Rosenmann-Taub,,,,,,,,,,,,XXI
"Rossetti,Ana",Ana Rossetti,1950-05-15,,female,Q3614866,12052694s,22161043,nr89003720,XX960031,0000 0000 8100 6690,1950-05-15T00:00:00Z,,<XXI
"Rossi,Horacio_C.",Horacio C. Rossi,,,,,,,,,,,,XXI
"Rubio,Ricardo",Ricardo Rubio,,,,,,,,,,,,XXI
"Rueda,Salvador",Salvador Rueda,1857-12-03,1933-04-01,male,Q5121471,13477679b,17371849,n86051343,XX1022853,0000 0001 2122 5119,1857-12-03T00:00:00Z,1933-04-01T00:00:00Z,<XXI
"Rugeles,Manuel_Felipe",Manuel Felipe Rugeles,1903-08-30,1959-11-04,male,Q364926,13477679b,75155703,n80106880,XX1233230,0000 0001 0916 7083,1903-08-30T00:00:00Z,1959-11-04T00:00:00Z,<XXI
"Ruiz,Felipe",Felipe Ruiz,,,,,,,,,,,,XXI
"Ruiz,Juan",Juan Ruiz,1283-01-01,1350-01-01,male,Q434597,120198617,163823217,n80045028,XX1151597,0000 0001 1243 009X,1283-01-01T00:00:00Z,1350-01-01T00:00:00Z,<XXI
"Ruiz_Aguilera,Ventura",Ventura Ruiz Aguilera,1820-11-02,1881-07-01,male,Q1395379,13477679b,13513737,no96060689,XX1119595,0000 0000 8093 0080,1820-11-02T00:00:00Z,1881-07-01T00:00:00Z,<XXI
"Ruoppolo,Pablo",Pablo Ruoppolo,,,,,,,,,,,,XXI
"Sabat_Ercasty,Carlos",Carlos Sabat Ercasty,1887-11-04,1982-08-04,male,Q1043213,126684311,118768668,n81102796,XX875916,0000 0000 8187 7699,1887-11-04T00:00:00Z,1982-08-04T00:00:00Z,<XXI
"Sabido_Sánchez,Fernando",Fernando Sabido Sánchez,,,,,,,,,,,,XXI
"Sabines,Jaime",Jaime Sabines,1926-03-25,1999-03-19,male,Q429554,120930001,93525087,n80159055,XX1378013,0000 0001 2143 8392,1926-03-25T00:00:00Z,1999-03-19T00:00:00Z,<XXI
"Salas,Francisco_Gregorio_de",Francisco Gregorio de Salas,1729-01-29,1807-12-02,male,Q5865917,120930001,89410665,n80159055,XX880402,0000 0000 6301 0485,1729-01-29T00:00:00Z,1808-12-03T00:00:00Z,<XXI
"Salazar,Jesús",Jesús Salazar,,,,,,,,,,,,XXI
"Salazar_V.,Abel",Abel Salazar V.,,,,,,,,,,,,XXI
"Salinas,Juan_de",Juan de Salinas y Castro,1559-12-24,1643-01-05,male,Q23695697,120930001,19701484,n88052992,XX1092462,0000 0001 1748 373X,1559-12-24T00:00:00Z,1643-01-05T00:00:00Z,<XXI
"Salinas,Pablo",Pablo Salinas,,,,,,,,,,,,XXI
"Salinas,Pedro",Pedro Salinas,1891-11-27,1951-12-04,male,Q379789,119234750,44304992,n79127088,XX1055262,0000 0001 0892 6498,1891-11-27T00:00:00Z,1951-12-04T00:00:00Z,<XXI
"Salvat,Belkys",Belkys Salvat,,,,,,,,,,,,XXI
"Samaniego,Félix_María_de",Félix Samaniego,1745-10-12,1801-08-11,male,Q379642,12299086c,75663,n79023229,XX1064053,0000 0001 0861 2077,1745-10-12T00:00:00Z,1801-08-11T00:00:00Z,<XXI
"San_Gil,Andrea",Andrea San Gil,,,,,,,,,,,,XXI
"San_Isidro,Olga",Olga San Isidro,,,,,,,,,,,,XXI
"Sanabria_Sánchez,Julio",Julio Sanabria Sánchez,,,,,,,,,,,,XXI
"Santa_Cruz,Nicomedes",Nicomedes Santa Cruz,1925-06-04,1992-02-05,male,Q3780177,12723778n,94637163,n83016840,XX1727662,0000 0000 6653 1999,1925-06-04T00:00:00Z,1992-02-05T00:00:00Z,<XXI
"Santervás,Lorena",Lorena Santervás,,,,,,,,,,,,XXI
"Santillana,Marqués_de","Íñigo López de Mendoza, 1st Marquis of Santillana",1398-08-19,1458-03-25,male,Q28779,118868151,39642259,n79018521,XX1106548,0000 0001 2129 1917,1398-08-19T00:00:00Z,1458-03-25T00:00:00Z,<XXI
"Sanz,Pedro",Pedro Sanz,,,,,,,,,,,,XXI
"Sanz_y_Sánchez,Eulogio_Florentino",Eulogio Florentino Sanz,1822-01-01,1881-04-29,male,Q5850736,17010103n,99982603,nb2015001063,XX4580176,0000 0001 1777 1280,1822-01-01T00:00:00Z,1881-04-29T00:00:00Z,<XXI
"Saravia,Rafael",Rafael Saravia,,,,,,,,,,,,XXI
"Sastre,Elvira",Elvira Sastre,1992-01-01,,female,Q27670801,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,<XXI
"Sánchez-Rojas,Patricio",Patricio Sánchez-Rojas,,,,,,,,,,,,XXI
"Sánchez_Boske,Antonio",Antonio Sánchez Boske,,,,,,,,,,,,XXI
"Sánchez_Carrón,Irene",Irene Sánchez Carrón,,,,,,,,,,,,XXI
"Sánchez_Chuchuca,Víctor_Roberto",Víctor Roberto Sánchez Chuchuca,,,,,,,,,,,,XXI
"Sánchez_Magariños,Mª_Guillermina",Mª Guillermina Sánchez Magariños,,,,,,,,,,,,XXI
"Sánchez_Vázquez,Pedro",Pedro Sánchez Vázquez,,,,,,,,,,,,XXI
"Segarra,Iván",Iván Segarra,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Segura,René",René Segura,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Segura_Vega,Eliana",Eliana Segura Vega,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Segura_«Jesm»,Jorge_E.",Jorge E. Segura «Jesm»,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Selgas_y_Carrasco,José",José Selgas,1822-11-27,1882-02-05,male,Q2616337,14830802m,74118486,n83136213,XX866103,0000 0000 8154 5141,1822-11-27T00:00:00Z,1882-02-05T00:00:00Z,<XXI
"Sensikasa,Egami",Egami Sensikasa,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Serna_G.,Ricardo",Ricardo Serna G.,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Servín,Cecilia",Cecilia Servín,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Sevylla_de_Juana,Pedro",Pedro Sevylla de Juana,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Sérvulo,Felipe",Felipe Sérvulo,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Sierra,Iván_Francisco",Iván Francisco Sierra,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
Silsh,Silsh,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Silva,José_Asunción",José Asunción Silva,1865-11-27,1896-05-24,male,Q2983255,12120714n,39409953,n80025965,XX1078998,0000 0001 1057 0689,1865-11-27T00:00:00Z,1896-05-24T00:00:00Z,<XXI
"Silva-Rosas,Sonia",Sonia Silva-Rosas,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Silva_Valdés,Fernán",Fernán Silva Valdés,1887-10-15,1975-01-09,male,Q1407435,"130908479,10536966h",85518887,no94002095,XX1026987,0000 0000 6635 3141,1887-10-15T00:00:00Z,1975-01-09T00:00:00Z,<XXI
"Sinibaldi,Franceso",Franceso Sinibaldi,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Siroco,Jota",Jota Siroco,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Slée-Egúsquiza,Luis_Esteban",Luis Esteban Slée-Egúsquiza,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Solano_Grande,Santiago",Santiago Solano Grande,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Soria_Rentería,Miguel_Ángel",Miguel Ángel Soria Rentería,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Storni,Alfonsina",Alfonsin mizzu,1892-05-29,1938-10-25,female,Q238557,12020432k,90658830,n50010843,XX1061091,0000 0001 0859 1624,1892-05-29T00:00:00Z,1938-10-25T00:00:00Z,<XXI
"Suárez_Trénor,Francisco",Francisco Suárez Trénor,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Suozzo,Mariana",Mariana Suozzo,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Surià_López,Scheherezade",Scheherezade Surià López,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Surián_Balaguer,José_María",José María Surián Balaguer,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
Sverko,Sverko,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Tablada,José_Juan",José Juan Tablada,1871-04-03,1945-08-02,male,Q2501863,"124890019,1",51792179,n82074225,XX1725942,0000 0001 2132 8740,1871-04-03T00:00:00Z,1945-08-02T00:00:00Z,<XXI
"Taglia,Hugo_Nicolás",Hugo Nicolás Taglia,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Tanned,Willhelm",Willhelm Tanned,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Tapia,Faustino_Calixto",Faustino Calixto Tapia,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Tarriba_Unger,Emmanuel",Emmanuel Tarriba Unger,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Teillier,Jorge",Jorge Teillier,1935-06-24,1996-04-22,male,Q3183894,121748812,24643255,n88262470,XX1130222,0000 0000 8103 0797,1935-06-24T00:00:00Z,1996-04-22T00:00:00Z,<XXI
"Téllez,Fray_Gabriel",Tirso de Molina,1579-03-24,1648-02-20,male,Q295598,11887708q,87464366,n81047641,XX1719677,0000 0001 1773 5570,1579-03-24T00:00:00Z,1648-02-20T00:00:00Z,<XXI
"Teresa_de_Jesús,Santa",Teresa of Ávila,1515-01-01,1582-01-01,female,Q174880,118876925,95217173,n80037617,XX1090246,0000 0001 2283 1620,"1515-01-01T00:00:00Z,1515-03-28T00:00:00Z","1582-01-01T00:00:00Z,1582-10-04T00:00:00Z",<XXI
"Tomé,Jesús",Jesús Tomé,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Tornabene,Gabriel_Norberto",Gabriel Norberto Tornabene,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Torre,Francisco_de_la",Francisco de la Torre,1534-01-01,1594-01-01,male,Q5868232,11991498m,19687085,n83193739,XX1111687,0000 0001 1042 2264,1534-01-01T00:00:00Z,1594-01-01T00:00:00Z,<XXI
"Torrecillas_Hernández,Laura",Laura Torrecillas Hernández,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Torres_Bodet,Jaime",Jaime Torres Bodet,1902-04-17,1974-05-13,male,Q553110,11994225k,59092222,n80125787,XX1139398,0000 0001 1027 5671,1902-04-17T00:00:00Z,1974-05-13T00:00:00Z,<XXI
"Torres_González,Evardo_A.",Evardo A. Torres González,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Torres_y_Villarroel,Diego_de",Diego de Torres Villarroel,1693-06-17,1770-06-19,male,Q2550205,119268467,24608654,n50046891,XX1107508,0000 0001 0879 291X,1693-06-17T00:00:00Z,1770-06-19T00:00:00Z,<XXI
"Tórtola,Luis_Elías",Luis Elías Tórtola,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Trazar,Alba",Alba Trazar,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Trindade,Raúl",Raúl Trindade,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Trotta_de_Basciano,Irma",Irma Trotta de Basciano,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Tubau,Iván",Ivan Tubau Comamala,1937-08-17,2016-11-13,male,Q9010193,16066818z,42500708,n83215535,XX1111786,0000 0000 6636 6858,1937-08-17T00:00:00Z,2016-11-13T00:00:00Z,<XXI
"Turcios,Froylán",Froylán Turcios,1874-07-07,1943-11-19,male,Q598228,12091758s,2498335,n81102815,XX1002068,0000 0000 8350 3324,"1874-07-07T00:00:00Z,1875-01-01T00:00:00Z",1943-11-19T00:00:00Z,<XXI
"Turull_Bargués,José",José Turull Bargués,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Unamuno,Gonzalo",Gonzalo Unamuno,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
